Video ID,User ID,Comment,BERT_Sentiment,BERT_Score
Ben_Shapiro,UC3vXomPY9K1_uq4qQptnOPg,A jew sweeping a Nazi Salute is comedy gold,POSITIVE,0.9985826015472412
Ben_Shapiro,UCd5UxmszI5LXSE8X_okFl_w,"Pls tell me this is a joke, Elon is a nazi? Really??",NEGATIVE,0.9988573789596558
Ben_Shapiro,UCbX0BniSpYGNBMR-DkChrEA,Iâ€™m German and he would be arrested here for that.,NEGATIVE,0.9960795044898987
Ben_Shapiro,UCkmV2gim5eIXFjCv7f-95gg,Shapiro has lost it! Elon spoke at a AfD rally and talked about the deluded blood of the Germans and to forget about past guilt. This is exactly what German Nazis used to say and Neo Nazis still say.,NEGATIVE,0.9896482825279236
Ben_Shapiro,UCk0iNjPERJSX7uQJeHbjHTg,ðŸ¤£ðŸ¤£What did your hero Bibi say again to congres? Oh yeah: chickens for KFC!,NEGATIVE,0.9914894104003906
Ben_Shapiro,UCKapSFtuMFr6JHUV5g5aTrg,"Just like the world has evolved, so too has the hate... Shapiro, isn&#39;t it possible at all, that maybe his salute resembling the Nazi salute was a call to hate a different minority? Say, perhaps immigrants? Nazi&#39;s as I&#39;m sure you know existed at a different time in history, they hated different people, but their hateful ideology has lived on unfortunately. So maybe it&#39;s time to take off your rose colored glasses and accept the fact that a nazi salute doesn&#39;t have to mean you hate jews.",NEGATIVE,0.9983246922492981
Ben_Shapiro,UC2ZxNbBNFoOeuAgClJ7Dprw,"It is funny to think that the richest person on earth, the person who could end world hunger and does not, and would still be a billionaire after it, has a heart! This is a tragic comedy, folks, the guy did it twice.",POSITIVE,0.9987579584121704
Ben_Shapiro,UCTXR51Pl7o_9SytGl7flniQ,Ben get out of Los Angeles. I was born in DTLA. Get the hell out. Go somewhere where they hate Jews like you do.,NEGATIVE,0.9967886209487915
Ben_Shapiro,UCTXR51Pl7o_9SytGl7flniQ,"Ben, you don&#39;t know about about Marxism - historical materialism, the theory of surplus value, theory of ideology. Its just a bogeyman for you. No one in the Democratic party calls themselves a Marxist. Do we have a vanguard party? It&#39;s utter nonsense, totally detached from reality. Honestly, man, I&#39;d be scared to push this propaganda for much longer. It&#39;s asy for the rich kid benefactors to get the brunt of your treason in the future. People are going to want to blame someone close to someone who actually deserves it. Biblical values my ass. SIlly dogmatist. I&#39;d love for some of you to actually learn some critical thinking.",NEGATIVE,0.998400866985321
Ben_Shapiro,UCTXR51Pl7o_9SytGl7flniQ,"Elon wasn&#39;t in favor with MAGA&#39;s white grievances base, so he did this and it fixed it real quick. Now they all love Elon.",POSITIVE,0.998939573764801
